Departement;Commune;Habitants;Agglo;Maire;Qui gere EP;Statut;Prestataire EP;Contact;Notes
"Seine-Saint-Denis (93)";"L'Île-Saint-Denis";8682;"EPT Plaine Commune";"Mohamed GNABALY";"";"done";"eiffage";"01 49 22 11 00";"Rappeler Lundi"
"Essonne (91)";"Montlhéry";8670;"CA Cur d'Essonne";"Jérôme BERTIN";"";"callback";"";"";"Mercredi 8h"
"Hauts-de-Seine (92)";"Vaucresson";8566;"EPT Grand Paris Seine Ouest";"Véronique JACQUELINE-COLAS";"";"done";"Societe SEIP (groupe stelens)";"";"CM + bailleur"
"Seine-et-Marne (77)";"Gretz-Armainvilliers";8556;"CA Roissy Pays de France";"Jean-Paul GARCIA ROBIN";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Le Plessis-Bouchard";8518;"CA Val Parisis";"Régis PAIN";"";"todo";"";"";""
"Val-d'Oise (95)";"Groslay";8453;"CA Plaine Vallée";"François JEFFROY";"";"todo";"";"";""
"Essonne (91)";"Marcoussis";8430;"CA Cur d'Essonne";"Olivier THOMAS";"";"done";"Stelens";"";"CM"
"Seine-et-Marne (77)";"Tournan-en-Brie";8340;"CC les Portes Briardes Entre Villes et Forêts";"Laurent GAUTIER";"";"inprogress";"";"";""
"Essonne (91)";"La Ville-du-Bois";8080;"CA Cur d'Essonne";"Grégory NOFERI";"";"inprogress";"";"";""
"Essonne (91)";"Boussy-Saint-Antoine";7986;"CA Val d'Yerres Val de Seine";"Romain COLAS";"";"done";"SEIP";"";"CM"
"Yvelines (78)";"Jouy-en-Josas";7928;"CA Versailles Grand Parc";"Jean-Paul RIGAL";"";"done";"SEIP";"";""
"Essonne (91)";"Paray-Vieille-Poste";7868;"EPT Grand-Orly Seine Bièvre";"Nathalie LALLIER";"";"inprogress";"";"";""
"Yvelines (78)";"Gargenville";7863;"CU Grand Paris Seine et Oise";"Yann PERRON";"";"done";"GPSEO";"";""
"Essonne (91)";"Ballancourt-sur-Essonne";7795;"CC du Val d'Essonne";"Jacques MIONE";"";"done";"Eiffage";"";"CM"
"Yvelines (78)";"Saint-Rémy-lès-Chevreuse";7747;"CC Haute Vallée de Chevreuse";"Dominique BAVOIL";"";"done";"EIFFAGE";"";""
"Seine-Saint-Denis (93)";"Vaujours";7743;"EPT Grand Paris Grand Est";"Inès MERBAH";"";"done";"ENEDIS";"";""
"Yvelines (78)";"Noisy-le-Roi";7631;"CA Saint-Germain Boucles de Seine";"Christophe MOLINSKI";"";"done";"SEIP ";"";"CM + Bailleur"
"Yvelines (78)";"Beynes";7617;"CC Cur d'Yvelines";"Sylvie BEGUIER";"";"done";"CITEOS ";"";"Bailleur"
"Val-d'Oise (95)";"Saint-Prix";7612;"CA Plaine Vallée";"Daniel KAYAL";"";"todo";"";"";""
"Seine-et-Marne (77)";"Émerainville";7601;"CC Gâtinais Val de Loing";"Christophe QUINION";"";"done";"Dalkia Electronics";"";"CM"
"Yvelines (78)";"Louveciennes";7563;"CA Saint-Germain Boucles de Seine";"Marie-Dominique PARISOT";"";"done";"TERIDEAL";"";"CM + Bailleur"
"Essonne (91)";"Saint-Germain-lès-Corbeil";7472;"CA Grand Paris Sud";"Yann PÉTEL";"";"inprogress";"";"";""
"Essonne (91)";"Soisy-sur-Seine";7322;"CA Grand Paris Sud";"Elisabeth PETITDIDIER";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Courdimanche";7311;"CA de Cergy-Pontoise";"Sophie MATHARAN";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Essonne (91)";"Linas";7302;"CA Communauté Paris-Saclay";"Sara DALI";"";"inprogress";"";"";""
"Essonne (91)";"Lisses";7292;"CA Grand Paris Sud";"Jean-Marc MORIN";"";"callback";"";"01 69 11 40 00";""
"Val-d'Oise (95)";"Écouen";7202;"CA Roissy Pays de France";"Catherine DELPRAT";"";"todo";"";"";""
"Essonne (91)";"Villemoisson-sur-Orge";7120;"CA Cur d'Essonne";"Jean-Michel DIARD";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Lésigny";7102;"CA Marne et Gondoire";"Benoît SCHMIT";"";"done";"Enedis";"";""
"Seine-Saint-Denis (93)";"Gournay-sur-Marne";7101;"EPT Grand Paris Grand Est";"Nicolas SERERO";"";"done";"SPIE";"CM / Pas de BAILLEUR";""
"Essonne (91)";"Égly";7078;"CA Cur d'Essonne";"Benoît FRIMON-RICHARD";"";"callback";"";"01 69 72 18 00";"coeur essonne agglomeration"
"Seine-et-Marne (77)";"Bailly-Romainvilliers";7049;"CA Val d'Europe Agglomération";"Anne GBIORCZYK";"";"inprogress";"";"";""
"Yvelines (78)";"Orgeval";6948;"CA Saint-Germain Boucles de Seine";"Sophie CLERC";"";"done";"CU GPSEO";"";""
"Yvelines (78)";"Le Mesnil-Saint-Denis";6929;"CA de Saint-Quentin-en-Yvelines";"Cédric CHAUVIERRE";"";"callback";"";"01 30 13 86 50";"13h30"
"Yvelines (78)";"Rosny-sur-Seine";6929;"CU Grand Paris Seine et Oise";"Michel ROYNEAU";"";"done";"GPSEO";"";""
"Essonne (91)";"Étréchy";6926;"CA Étampois Sud-Essonne";"Julien GARCIA";"";"done";"SATELEC / BOUYGUES ENERGIE";"";"CM"
"Essonne (91)";"Wissous";6924;"CA Communauté Paris-Saclay";"Cyrille TELMAN";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Courtry";6885;"CA Paris - Vallée de la Marne";"Xavier VANDERBISE";"";"done";"ENTRA ";"";"CM"
"Seine-et-Marne (77)";"Chessy";6875;"CA Val d'Europe Agglomération";"Cyril MARSAUD";"";"done";"TERIDEAL";"";"CM"
"Val-d'Oise (95)";"Auvers-sur-Oise";6863;"CC Sausseron Impressionnistes";"Isabelle MÉZIÈRES";"";"todo";"";"";""
"Seine-et-Marne (77)";"Nanteuil-lès-Meaux";6800;"CA du Pays de Meaux";"Régis SARAZIN";"";"inprogress";"";"";""
"Yvelines (78)";"Les Essarts-le-Roi";6775;"CA Rambouillet Territoires";"Ismaël NEHLIL";"";"done";"CITEOS";"01 30 46 48 84";"CM + Bailleur"
"Seine-et-Marne (77)";"Othis";6739;"CA Roissy Pays de France";"Viviane DIDIER";"agglo";"done";"BIR";" CM / Pas de B";"Dispositive "
"Essonne (91)";"Itteville";6603;"CC du Val d'Essonne";"Françoise GUILLARD";"";"callback";"";"";"Mercredi à 9h"
"Val-d'Oise (95)";"Bouffémont";6593;"CA Plaine Vallée";"Karine OKONSKI";"";"todo";"";"";""
"Yvelines (78)";"Épône";6585;"CU Grand Paris Seine et Oise";"Emmanuel BOLLE";"";"done";"GPSEO";"";""
"Essonne (91)";"Saulx-les-Chartreux";6583;"CA Cur d'Essonne";"Stéphane BAZILE";"";"inprogress";"";"";""
"Yvelines (78)";"Le Perray-en-Yvelines";6543;"CA Rambouillet Territoires";"Geoffroy BAX DE KEATING";"";"done";"CITEOS";"";""
"Essonne (91)";"Limours";6431;"CC du Pays de Limours";"Armand DOUIN";"";"inprogress";"";"";""
"Essonne (91)";"Longpont-sur-Orge";6417;"CA Cur d'Essonne";"Charlène BADINA";"";"callback";"";"";"Mercredi 8h45"
"Seine-et-Marne (77)";"Esbly";6402;"CA Paris - Vallée de la Marne";"Ghislain DELVAUX";"";"done";"EXPERTITÉ";"";"CM"
"Seine-et-Marne (77)";"Saint-Pathus";6358;"CC Plaines et Monts de France";"Benoit DANTEC";"";"inprogress";"";"";""
"Seine-et-Marne (77)";"Champagne-sur-Seine";6356;"CC Moret Seine et Loing";"Michel GONORD";"";"inprogress";"";"";""
"Yvelines (78)";"Le Mesnil-le-Roi";6322;"CA Saint-Germain Boucles de Seine";"Aline BILLET";"";"done";"ENEDIS";"";""
"Seine-et-Marne (77)";"Nandy";6294;"CA Grand Paris Sud";"Grégory MASSAMBA";"";"done";"SPIE";"";"CM avec Grand Paris Sud"
"Seine-et-Marne (77)";"Saint-Thibault-des-Vignes";6266;"CA Marne et Gondoire";"Claude VERONA";"";"inprogress";"";"";""
